"citationId:ID","presentationNumber","sessionType","title","authorCount:int","startPage:int","backgroundSnippet","conclusionSnippet","hasFigures:boolean",":LABEL"
"jjaf231.001","OP01","Oral Presentation","The Occupational Landscape of Inflammatory Bowel Disease Susceptibility and Modulating Roles of Pollutant Exposure, Work Behaviors, and Socioeconomic Status: A Multicohort Cross-Population Study","6","8","It is well known that the burden of inflammatory bowel disease (IBD) has surged amid profound societal shifts, including industrialization 
and westernization of lifestyles in modern societies. However, how contemporary occupations, as a key social linkage connecting industrialization 
and profoundly shaping individual lives, modulate individual susceptibility to IBD remains largely understudied. This study aims to (1) systematically 
delineate the landscape of associations between occupations a","This study systematically presents the occupational landscape of IBD risk, highlighting the impact of high-pollution and high physical 
activity occupations on individual IBD susceptibility, while further linking industrialization-driven work patterns and social stratification to disease 
risk. These findings expand the environmental framework of IBD etiology and underscore the importance of integrating occupational factors into 
future etiologic and preventive research.","true","Abstract"
"jjaf231.002","OP02","Oral Presentation","Efficacy and safety of vedolizumab combined with upadacitinib as an 8-week induction strategy in moderate- to-severe ulcerative colitis: a multicenter, randomized controlled trial","9","11","Advanced monotherapies for ulcerative colitis (UC) face an ‘efficacy ceiling’ (approx. 30% induction remission). We evaluated a 
‘hit-hard-and-early’ strategy combining potent, rapid upadacitinib (UPA) for induction with gut-selective, safe vedolizumab (VDZ). This addresses a 
key AGA guideline knowledge gap, testing if 8-week UPA+VDZ induction is superior to VDZ monotherapy.","Eight-week combined UPA+VDZ induction was superior to VDZ monotherapy for achieving early endoscopic, clinical, and 
histologic-endoscopic remission in moderate-to-severe UC, with a comparable short-term safety profile. This study provides the first randomized 
evidence for this sequential ‘hit-hard-and-early’ strategy, suggesting a new paradigm to overcome the therapeutic ceiling in UC.","true","Abstract"
"jjaf231.003","OP03","Oral Presentation","Early kinetics of transmural healing in patients with Crohn’s Disease treated with risankizumab: Results of the multicenter prospective SKYNETICS study","12","13","We aimed to evaluate, in real-life practice, the kinetics of clinical, biochemical, and transmural efficacy of risankizumab in patients with 
Crohn’s disease (CD).","In this prospective multicenter study including unselected patients with Crohn’s disease previously exposed to at least one anti-TNF, 
risankizumab achieved early clinical, biochemical, and transmural effectiveness, supporting its use in this clinical situation.","false","Abstract"
"jjaf231.004","OP04","Oral Presentation","NORDTREAT: a randomised, multicentre, biomarker-strategy design, open-label, controlled trial of top-down versus clinical management in newly diagnosed IBD","8","15","Substantial variation exists in early inflammatory bowel disease (IBD) disease management. Biomarkers predicting disease trajectories 
may enable personalised treatment. The NORDTREAT strategy-trial was designed to compare “top-down” treatment with standard clinical care in 
patients at increased risk of an aggressive IBD course, as defined by the prognostic NORDTREAT protein signature.1","A biomarker-guided “top-down” approach did not increase corticosteroid-free clinical and endoscopic remission at week 52 compared 
with standard care. However, a possible benefit was seen in CD, suggesting that early “top-down” could improve outcomes in this subgroup of 
patients even in the era of widespread use of advanced therapies.","true","Abstract"
"jjaf231.005","OP05","Oral Presentation","PROFILE 4-year follow-up shows that early effective “top-down” therapy is associated with reduced long-term Crohn’s disease complications","7","17","PROFILE demonstrated better outcomes over 48 weeks for patients with Crohn’s disease (CD) receiving “top-down” (TD) therapy 
from diagnosis compared to an accelerated “step-up” (SU) strategy. 10 abdominal surgeries were required in SU vs 1 in the TD arm. We aimed to 
address whether early effective treatment can modify the longer-term course of CD with follow-up of PROFILE participants.","Over 4 years follow-up, “top-down” treatment was associated with reduced disease progression (2x), reduced hospitalisation (3x), and 
reduced need for abdominal surgery (5x). Early and effective control of inflammation is associated with a modified course of Crohn’s disease and 
should be considered the standard-of-care treatment strategy from diagnosis.","true","Abstract"
"jjaf231.006","OP06","Oral Presentation","Novel mouse models reveal therapeutic value of anti-IFN-g for perianal fistulizing CD","7","19","Perianal fistulizing Crohn’s disease (PFCD) is associated with significant morbidity and therapeutic resistance. Our recent multi-omics 
study identified hyperactivated IFN-g pathways in PFCD (Cao 2025 JCI). Further studies require clinically relevant and reliable in vivo models that 
allow easy drug screening and genetic modification.","We have established three reliable, biologically and clinically relevant, therapeutically responsive mouse models for PFCD. We expect 
they will be new in vivo tools to study PFCD pathogenesis and develop novel therapies. The prompt improvement of murine perianal fistulas on 
anti-IFN-g supports IFN-g pathways as novel therapeutic targets for PFCD and warrants further investigation.","true","Abstract"
"jjaf231.007","OP07","Oral Presentation","Epithelial calprotectin contributes to the refractory nature of Crohn’s disease related fistula","6","22","Crohn-related perianal (CD) fistulas are often refractory to therapy and not amenable for surgical interventions, in particular in com­
parison to cryptoglandular fistula. However, the etiology of this difference remains largely unclear. We previously identified epithelial redifferentiation 
into keratinized epithelium as a physiological response in fistula healing. Although present, this activity was decreased in CD fistulas. In this study 
we aimed to identify the biology underlying this pheno","These data show a novel role for calprotectin in IBD. In fistula derived epithelium, calprotectin functions as a transcriptional regulator, 
relaying cytokine signals resulting in an inflammatory phenotype of epithelium not amenable to surgical closure. Interventions in this pathway may 
improve therapy responsiveness in Crohn-related fistula.","true","Abstract"
"jjaf231.008","OP08","Oral Presentation","A protein signature for prediction of disease course in newly diagnosed Ulcerative Colitis","10","24","The disease course of patients with newly diagnosed ulcerative colitis (UC) is highly uncertain, and there is a lack of validated prognostic 
biomarkers that could aid in clinical decision making.","We develop a UC risk score for prognostication of disease course and confirmed its high predictive performance by external validation 
in two independent cohorts. The risk score is a promising tool for quantifying the risk of having an aggressive disease course in UC.","true","Abstract"
"jjaf231.009","OP09","Oral Presentation","Polyfunctional cytotoxic CD4+ T cells associate with mucosal inflammation and predict treatment resis­ tance in Ulcerative Colitis","10","28","The contribution of cytotoxic T cells to the pathogenesis and treatment outcomes of ulcerative colitis (UC) remains poorly understood.","Pro-inflammatory cytotoxic GZMB+ CD4+ T cells are increased in the colonic mucosa of UC patients, correlate with endoscopic disease 
severity, and predict resistance to biologic therapies.","true","Abstract"
"jjaf231.010","OP10","Oral Presentation","Symptomatic improvement with intravenous guselkumab induction therapy is observed early in patients with moderately to severely active Ulcerative Colitis: post-hoc analysis of QUASAR","9","31","Ulcerative colitis (UC) symptoms of stool frequency, rectal bleeding, and abdominal pain significantly impair quality of life. The STRIDE-II 
treat-to-target framework includes symptomatic relief as a short-term therapeutic goal in UC management.1,2 Early symptomatic improvement is 
clinically meaningful, as it influences patient satisfaction, adherence, and long-term outcomes. Guselkumab (GUS) is a dual-acting IL-23p19 subunit 
inhibitor that potently neutralises IL-23 and binds to CD64, a rece","Pts treated with GUS had rapid improvements in SFS and RBS - clinically meaningful indicators of UC activity - as early as D6 after IV 
induction. These findings underscore the clinical relevance of early symptom control and align with STRIDE-II short-term treatment targets.
Study support: Johnson & Johnson.","true","Abstract"
